non_terminal,return,!,<>,while,<=,==,<,&&,",",++,-,{,;,+,|,--,=,char,get,digit,#,(,),&,void,||,},int,id,>=,if,put,>,else,$
多变量声明闭包,,,,,,,,,{'43'},,,,{'44'},,,,,,,,,,,,,,,,,,,,,,
while循环,{'synch'},,,{'62'},,,,,,,,,{'synch'},,,,,{'synch'},{'synch'},,,,,,{'synch'},,{'synch'},{'synch'},{'synch'},,{'synch'},{'synch'},,,
函数实现,,,,,,,,,,,,{'9'},{'10'},,,,,{'synch'},,,,,,,{'synch'},,,{'synch'},,,,,,,{'synch'}
标准库函数,,,{'synch'},,{'synch'},{'synch'},{'synch'},{'synch'},{'synch'},{'synch'},{'synch'},,{'synch'},{'synch'},{'synch'},{'synch'},{'synch'},,{'15'},,,{'synch'},{'synch'},{'synch'},,{'synch'},,,,{'synch'},,{'16'},{'synch'},,
参数闭包,,,,,,,,,{'57'},,,,,,,,,,,,,,{'58'},,,,,,,,,,,,
后缀运算符,,,,,,,,,,{'74'},,,,,,{'75'},,,,,,,,,,,,,,,,,,,
函数参数实现或变量定义,,,,,,,,,{'6'},,,,{'6'},,,,,{'synch'},,,,{'5'},,,{'synch'},,,{'synch'},,,,,,,{'synch'}
声明,,,,,,,,,{'synch'},,,,{'synch'},,,,,{'35'},,,,,{'synch'},,{'35'},,,{'35'},,,,,,,
变量,,,{'synch'},,{'synch'},{'synch'},{'synch'},{'synch'},{'synch'},{'synch'},{'synch'},,{'synch'},{'synch'},{'synch'},{'synch'},{'synch'},,{'14'},,,{'synch'},{'synch'},{'synch'},,{'synch'},,,{'17'},{'synch'},,{'14'},{'synch'},,
赋值或函数调用,{'synch'},,,{'synch'},,,,,,,,,{'synch'},,,,{'54'},{'synch'},{'synch'},,,{'55'},,,{'synch'},,{'synch'},{'synch'},{'synch'},,{'synch'},{'synch'},,,
标志符,,,{'synch'},,{'synch'},{'synch'},{'synch'},{'synch'},{'synch'},{'synch'},{'synch'},,{'synch'},{'synch'},{'synch'},{'synch'},{'synch'},,,,,{'synch'},{'synch'},{'synch'},,{'synch'},,,{'18'},{'synch'},,,{'synch'},,
项,,,{'32'},,{'32'},{'32'},{'32'},{'32'},{'32'},,{'29'},,{'32'},{'28'},{'31'},,,,,,,,{'32'},{'30'},,{'32'},,,,{'32'},,,{'32'},,
右值,,,,,,,,,{'synch'},,,,{'synch'},,,,,,{'38'},{'38'},,{'38'},{'synch'},,,,,,{'38'},,,{'38'},,,
函数或声明,,,,,,,,,,,,,,,,,,{'4'},,,,,,,{'4'},,,{'4'},,,,,,,{'synch'}
